ReturnID,TransactionID,ReturnDate,Reason
RET1,TXN102507,2025-02-19,Size Issue
RET2,TXN109716,2025-05-15,Size Issue
RET3,TXN114775,2025-07-13,Changed Mind
RET4,TXN109223,2025-05-18,Size Issue
RET5,TXN103933,2025-03-06,Size Issue
RET6,TXN117812,2025-09-30,Changed Mind
RET7,TXN102946,2025-02-20,Size Issue
RET8,TXN121594,2025-11-09,Wrong Item
RET9,TXN101915,2025-01-06,Changed Mind
RET10,TXN106023,2025-03-14,Not as Described
RET11,TXN117860,2025-09-19,Size Issue
RET12,TXN110787,2025-05-23,Changed Mind
RET13,TXN122651,2025-12-04,Changed Mind
RET14,TXN104534,2025-03-28,Changed Mind
RET15,TXN116995,2025-08-29,Not as Described
RET16,TXN112088,2025-06-12,Wrong Item
RET17,TXN104117,2025-03-04,Size Issue
RET18,TXN120653,2025-10-11,Size Issue
RET19,TXN116017,2025-08-29,Size Issue
RET20,TXN125163,2025-12-18,Not as Described
RET21,TXN100510,2025-01-19,Changed Mind
RET22,TXN120242,2025-11-06,Changed Mind
RET23,TXN111701,2025-06-17,Not as Described
RET24,TXN103069,2025-02-12,Changed Mind
RET25,TXN106555,2025-04-15,Changed Mind
RET26,TXN115822,2025-08-27,Size Issue
RET27,TXN103661,2025-03-02,Not as Described
RET28,TXN118700,2025-09-17,Changed Mind
RET29,TXN119874,2025-10-19,Size Issue
RET30,TXN108053,2025-04-20,Size Issue
RET31,TXN111714,2025-07-02,Changed Mind
RET32,TXN117389,2025-09-19,Not as Described
RET33,TXN108628,2025-04-15,Damaged
RET34,TXN113465,2025-08-06,Wrong Item
RET35,TXN111960,2025-06-27,Damaged
RET36,TXN122341,2025-11-15,Size Issue
RET37,TXN122032,2025-11-24,Not as Described
RET38,TXN118671,2025-09-27,Damaged
RET39,TXN117449,2025-09-20,Changed Mind
RET40,TXN117896,2025-09-16,Wrong Item
RET41,TXN107487,2025-05-03,Changed Mind
RET42,TXN108236,2025-04-21,Not as Described
RET43,TXN118703,2025-09-16,Changed Mind
RET44,TXN122904,2025-11-29,Wrong Item
RET45,TXN123902,2025-12-28,Wrong Item
RET46,TXN113740,2025-07-11,Not as Described
RET47,TXN116278,2025-08-30,Not as Described
RET48,TXN114489,2025-07-13,Size Issue
RET49,TXN123525,2025-12-10,Changed Mind
RET50,TXN117706,2025-09-27,Changed Mind
RET51,TXN108527,2025-04-19,Damaged
RET52,TXN110133,2025-05-20,Changed Mind
RET53,TXN103364,2025-03-03,Size Issue
RET54,TXN115063,2025-07-25,Changed Mind
RET55,TXN107070,2025-04-28,Damaged
RET56,TXN116826,2025-08-26,Not as Described
RET57,TXN124033,2025-12-12,Damaged
RET58,TXN102770,2025-02-21,Changed Mind
RET59,TXN122336,2025-11-10,Not as Described
RET60,TXN121051,2025-10-17,Damaged
RET61,TXN122057,2025-11-13,Wrong Item
RET62,TXN122429,2025-11-22,Not as Described
RET63,TXN121454,2025-12-04,Damaged
RET64,TXN102621,2025-02-22,Size Issue
RET65,TXN109551,2025-05-21,Changed Mind
RET66,TXN124132,2025-12-30,Size Issue
RET67,TXN119152,2025-09-21,Not as Described
RET68,TXN110084,2025-05-17,Size Issue
RET69,TXN106536,2025-04-25,Wrong Item
RET70,TXN105966,2025-03-02,Damaged
RET71,TXN110917,2025-07-05,Size Issue
RET72,TXN115855,2025-08-29,Changed Mind
RET73,TXN110901,2025-06-23,Not as Described
RET74,TXN113286,2025-07-27,Changed Mind
RET75,TXN119639,2025-11-05,Changed Mind
RET76,TXN105655,2025-04-08,Changed Mind
RET77,TXN119337,2025-11-01,Wrong Item
RET78,TXN125055,2025-12-20,Damaged
RET79,TXN107890,2025-04-16,Changed Mind
RET80,TXN109974,2025-05-20,Size Issue
RET81,TXN122847,2025-11-17,Changed Mind
RET82,TXN103091,2025-02-21,Size Issue
RET83,TXN109624,2025-06-07,Changed Mind
RET84,TXN107461,2025-04-09,Wrong Item
RET85,TXN119403,2025-10-13,Not as Described
RET86,TXN107124,2025-04-20,Size Issue
RET87,TXN107542,2025-04-05,Not as Described
RET88,TXN108991,2025-05-11,Changed Mind
RET89,TXN100832,2025-01-24,Size Issue
RET90,TXN104599,2025-03-30,Not as Described
RET91,TXN124771,2025-12-09,Changed Mind
RET92,TXN118445,2025-09-15,Damaged
RET93,TXN123037,2025-11-27,Damaged
RET94,TXN110622,2025-05-09,Not as Described
RET95,TXN109046,2025-06-04,Size Issue
RET96,TXN101998,2025-01-02,Wrong Item
RET97,TXN118140,2025-09-04,Wrong Item
RET98,TXN124494,2025-12-18,Wrong Item
RET99,TXN113505,2025-07-06,Damaged
RET100,TXN122664,2025-11-14,Damaged
RET101,TXN105262,2025-03-19,Damaged
RET102,TXN101761,2025-01-05,Damaged
RET103,TXN114497,2025-07-16,Not as Described
RET104,TXN106473,2025-05-08,Size Issue
RET105,TXN124757,2025-12-21,Changed Mind
RET106,TXN105112,2025-03-17,Size Issue
RET107,TXN124165,2025-12-26,Size Issue
RET108,TXN125385,2025-12-27,Not as Described
RET109,TXN119320,2025-09-28,Not as Described
RET110,TXN117102,2025-08-22,Wrong Item
RET111,TXN119603,2025-10-18,Wrong Item
RET112,TXN121333,2025-10-07,Size Issue
RET113,TXN111677,2025-06-08,Not as Described
RET114,TXN117648,2025-09-13,Size Issue
RET115,TXN100231,2025-01-28,Wrong Item
RET116,TXN103011,2025-03-05,Damaged
RET117,TXN106880,2025-04-25,Damaged
RET118,TXN101633,2025-01-06,Not as Described
RET119,TXN107287,2025-04-18,Size Issue
RET120,TXN103475,2025-02-08,Changed Mind
RET121,TXN114960,2025-07-17,Size Issue
RET122,TXN111684,2025-06-15,Changed Mind
RET123,TXN115731,2025-08-16,Size Issue
RET124,TXN114731,2025-07-17,Not as Described
RET125,TXN112950,2025-06-28,Size Issue
RET126,TXN110215,2025-05-22,Wrong Item
RET127,TXN106793,2025-04-02,Not as Described
RET128,TXN121597,2025-11-08,Size Issue
RET129,TXN106344,2025-03-19,Damaged
RET130,TXN105619,2025-03-09,Changed Mind
RET131,TXN110570,2025-06-07,Wrong Item
RET132,TXN106840,2025-05-05,Changed Mind
RET133,TXN118976,2025-09-10,Wrong Item
RET134,TXN122623,2025-11-19,Wrong Item
RET135,TXN117819,2025-09-23,Changed Mind
RET136,TXN101104,2025-01-15,Changed Mind
RET137,TXN112678,2025-06-21,Changed Mind
RET138,TXN113368,2025-07-28,Damaged
RET139,TXN121263,2025-10-05,Damaged
RET140,TXN105800,2025-03-29,Not as Described
RET141,TXN125278,2025-12-12,Wrong Item
RET142,TXN124976,2025-12-22,Changed Mind
RET143,TXN123361,2025-11-10,Changed Mind
RET144,TXN113326,2025-07-28,Not as Described
RET145,TXN124037,2025-12-17,Not as Described
RET146,TXN122250,2025-11-07,Changed Mind
RET147,TXN117962,2025-09-24,Changed Mind
RET148,TXN107626,2025-04-20,Changed Mind
RET149,TXN106559,2025-04-23,Changed Mind
RET150,TXN116165,2025-08-11,Size Issue
RET151,TXN100389,2025-02-01,Size Issue
RET152,TXN123200,2025-11-26,Changed Mind
RET153,TXN121223,2025-10-20,Damaged
RET154,TXN122606,2025-11-29,Size Issue
RET155,TXN111765,2025-06-29,Size Issue
RET156,TXN111533,2025-06-12,Not as Described
RET157,TXN103322,2025-03-10,Wrong Item
RET158,TXN102064,2025-01-20,Size Issue
RET159,TXN121175,2025-10-22,Changed Mind
RET160,TXN125539,2025-12-13,Size Issue
RET161,TXN124191,2026-01-05,Not as Described
RET162,TXN115291,2025-09-01,Not as Described
RET163,TXN113963,2025-07-09,Damaged
RET164,TXN110145,2025-05-26,Damaged
RET165,TXN116950,2025-08-18,Changed Mind
RET166,TXN111035,2025-06-27,Changed Mind
RET167,TXN102797,2025-02-11,Wrong Item
RET168,TXN124924,2025-12-08,Wrong Item
RET169,TXN105916,2025-03-31,Wrong Item
RET170,TXN103505,2025-03-05,Not as Described
RET171,TXN124623,2025-12-19,Size Issue
RET172,TXN115277,2025-08-12,Size Issue
RET173,TXN109091,2025-05-11,Wrong Item
RET174,TXN100874,2025-01-21,Changed Mind
RET175,TXN116405,2025-08-11,Size Issue
RET176,TXN115227,2025-08-08,Damaged
RET177,TXN108580,2025-04-11,Wrong Item
RET178,TXN114366,2025-07-24,Not as Described
RET179,TXN121893,2025-11-27,Wrong Item
RET180,TXN123397,2025-11-05,Not as Described
RET181,TXN112757,2025-06-26,Size Issue
RET182,TXN103655,2025-03-11,Changed Mind
RET183,TXN118486,2025-09-12,Not as Described
RET184,TXN110790,2025-05-26,Damaged
RET185,TXN102806,2025-03-10,Size Issue
RET186,TXN100088,2025-01-19,Changed Mind
RET187,TXN114094,2025-07-11,Not as Described
RET188,TXN102459,2025-03-05,Damaged
RET189,TXN108210,2025-04-19,Wrong Item
RET190,TXN103908,2025-03-10,Wrong Item
RET191,TXN109140,2025-06-04,Wrong Item
RET192,TXN117919,2025-09-22,Wrong Item
RET193,TXN120423,2025-10-31,Wrong Item
RET194,TXN101027,2025-01-11,Damaged
RET195,TXN124334,2025-12-25,Changed Mind
RET196,TXN108233,2025-04-29,Not as Described
RET197,TXN111205,2025-06-30,Wrong Item
RET198,TXN121383,2025-10-15,Not as Described
RET199,TXN116134,2025-08-15,Not as Described
RET200,TXN105771,2025-03-16,Changed Mind
RET201,TXN119576,2025-10-20,Changed Mind
RET202,TXN108994,2025-05-22,Wrong Item
RET203,TXN113946,2025-07-25,Damaged
RET204,TXN107832,2025-04-30,Not as Described
RET205,TXN108320,2025-04-27,Size Issue
RET206,TXN112905,2025-06-11,Changed Mind
RET207,TXN108972,2025-05-29,Damaged
