TransactionID,OrderDate,Region,ProductID,Quantity,UnitPrice,DiscountPct,SalesAmount
TXN100000,2025-01-03,North,P004,5,56667,10,255001.5
TXN100001,2025-01-05,North,P018,2,12532,5,23810.8
TXN100002,2025-01-16,North,P003,3,28854,0,86562.0
TXN100003,2025-01-19,North,P010,1,1815,0,1815.0
TXN100004,2025-01-09,North,P017,3,326,10,880.2
TXN100005,2025-01-11,North,P004,1,56667,0,56667.0
TXN100006,2025-01-25,North,P016,4,574,0,2296.0
TXN100007,2025-01-16,North,P006,5,6059,0,30295.0
TXN100008,2025-01-14,North,P016,5,574,0,2870.0
TXN100009,2025-01-21,North,P005,4,9455,0,37820.0
TXN100010,2025-01-16,North,P020,2,6635,0,13270.0
TXN100011,2025-01-20,North,P017,1,326,0,326.0
TXN100012,2025-01-10,North,P006,5,6059,0,30295.0
TXN100013,2025-01-06,North,P019,2,8382,0,16764.0
TXN100014,2025-01-01,North,P002,1,15427,0,15427.0
TXN100015,2025-01-07,North,P009,2,7247,0,14494.0
TXN100016,2025-01-15,North,P004,4,56667,0,226668.0
TXN100017,2025-01-26,North,P004,4,56667,0,226668.0
TXN100018,2025-01-14,North,P015,3,71,0,213.0
TXN100019,2025-01-23,North,P006,4,6059,15,20600.6
TXN100020,2025-01-06,North,P018,2,12532,5,23810.8
TXN100021,2025-01-24,North,P007,1,10164,15,8639.4
TXN100022,2025-01-18,North,P001,2,51189,0,102378.0
TXN100023,2025-01-23,North,P012,3,1643,0,4929.0
TXN100024,2025-01-06,North,P018,5,12532,0,62660.0
TXN100025,2025-01-13,North,P003,3,28854,0,86562.0
TXN100026,2025-01-21,North,P002,4,15427,0,61708.0
TXN100027,2025-01-23,North,P013,3,1187,0,3561.0
TXN100028,2025-01-05,North,P005,5,9455,10,42547.5
TXN100029,2025-01-13,North,P020,2,6635,10,11943.0
TXN100030,2025-01-03,North,P012,4,1643,5,6243.4
TXN100031,2025-01-12,North,P004,3,56667,0,170001.0
TXN100032,2025-01-03,North,P015,3,71,0,213.0
TXN100033,2025-01-01,North,P006,1,6059,0,6059.0
TXN100034,2025-01-23,North,P013,5,1187,0,5935.0
TXN100035,2025-01-03,North,P010,3,1815,5,5172.75
TXN100036,2025-01-27,North,P011,3,2085,5,5942.25
TXN100037,2025-01-13,North,P001,3,51189,5,145888.65
TXN100038,2025-01-04,North,P003,1,28854,0,28854.0
TXN100039,2025-01-20,North,P015,1,71,0,71.0
TXN100040,2025-01-16,North,P012,3,1643,0,4929.0
TXN100041,2025-01-08,North,P007,3,10164,0,30492.0
TXN100042,2025-01-11,North,P002,1,15427,0,15427.0
TXN100043,2025-01-11,North,P019,5,8382,5,39814.5
TXN100044,2025-01-13,North,P001,1,51189,5,48629.55
TXN100045,2025-01-26,North,P009,5,7247,0,36235.0
TXN100046,2025-01-24,North,P003,4,28854,5,109645.2
TXN100047,2025-01-02,North,P013,4,1187,0,4748.0
TXN100048,2025-01-25,North,P009,2,7247,0,14494.0
TXN100049,2025-01-03,North,P007,2,10164,10,18295.2
TXN100050,2025-01-02,North,P003,2,28854,0,57708.0
TXN100051,2025-01-27,North,P016,1,574,0,574.0
TXN100052,2025-01-17,North,P003,1,28854,10,25968.6
TXN100053,2025-01-07,North,P004,1,56667,0,56667.0
TXN100054,2025-01-07,North,P020,1,6635,0,6635.0
TXN100055,2025-01-27,North,P002,3,15427,0,46281.0
TXN100056,2025-01-26,North,P020,1,6635,5,6303.25
TXN100057,2025-01-05,North,P019,5,8382,10,37719.0
TXN100058,2025-01-23,North,P002,2,15427,0,30854.0
TXN100059,2025-01-25,North,P012,5,1643,0,8215.0
TXN100060,2025-01-20,North,P020,2,6635,0,13270.0
TXN100061,2025-01-14,North,P012,5,1643,0,8215.0
TXN100062,2025-01-25,North,P019,4,8382,0,33528.0
TXN100063,2025-01-22,North,P016,4,574,0,2296.0
TXN100064,2025-01-26,North,P020,4,6635,0,26540.0
TXN100065,2025-01-18,North,P005,3,9455,0,28365.0
TXN100066,2025-01-09,North,P008,2,8440,15,14348.0
TXN100067,2025-01-06,North,P012,2,1643,0,3286.0
TXN100068,2025-01-05,North,P019,4,8382,5,31851.6
TXN100069,2025-01-26,North,P006,2,6059,0,12118.0
TXN100070,2025-01-27,North,P020,5,6635,0,33175.0
TXN100071,2025-01-20,North,P006,1,6059,15,5150.15
TXN100072,2025-01-23,North,P003,1,28854,0,28854.0
TXN100073,2025-01-04,North,P016,2,574,0,1148.0
TXN100074,2025-01-14,North,P013,3,1187,0,3561.0
TXN100075,2025-01-05,North,P016,4,574,10,2066.4
TXN100076,2025-01-03,North,P018,4,12532,0,50128.0
TXN100077,2025-01-26,North,P018,4,12532,0,50128.0
TXN100078,2025-01-16,North,P005,1,9455,0,9455.0
TXN100079,2025-01-08,North,P008,1,8440,5,8018.0
TXN100080,2025-01-22,North,P020,2,6635,15,11279.5
TXN100081,2025-01-14,North,P017,5,326,15,1385.5
TXN100082,2025-01-18,North,P004,1,56667,0,56667.0
TXN100083,2025-01-10,North,P017,4,326,0,1304.0
TXN100084,2025-01-11,North,P019,1,8382,15,7124.7
TXN100085,2025-01-21,North,P002,1,15427,0,15427.0
TXN100086,2025-01-03,North,P008,3,8440,0,25320.0
TXN100087,2025-01-09,North,P016,2,574,0,1148.0
TXN100088,2025-01-10,North,P017,1,326,10,293.4
TXN100089,2025-01-14,North,P001,5,51189,0,255945.0
TXN100090,2025-01-07,North,P019,2,8382,0,16764.0
TXN100091,2025-01-17,North,P013,4,1187,10,4273.2
TXN100092,2025-01-12,North,P001,3,51189,0,153567.0
TXN100093,2025-01-05,North,P012,5,1643,0,8215.0
TXN100094,2025-01-06,North,P014,5,465,0,2325.0
TXN100095,2025-01-20,North,P009,1,7247,0,7247.0
TXN100096,2025-01-25,North,P019,1,8382,0,8382.0
TXN100097,2025-01-18,North,P016,2,574,5,1090.6
TXN100098,2025-01-05,North,P020,1,6635,0,6635.0
TXN100099,2025-01-08,North,P011,1,2085,0,2085.0
TXN100100,2025-01-01,North,P018,4,12532,0,50128.0
TXN100101,2025-01-07,North,P020,5,6635,0,33175.0
TXN100102,2025-01-01,North,P020,1,6635,0,6635.0
TXN100103,2025-01-07,North,P012,3,1643,0,4929.0
TXN100104,2025-01-13,North,P004,4,56667,5,215334.6
TXN100105,2025-01-13,North,P003,3,28854,0,86562.0
TXN100106,2025-01-15,North,P019,2,8382,0,16764.0
TXN100107,2025-01-24,North,P005,1,9455,0,9455.0
TXN100108,2025-01-15,North,P008,3,8440,0,25320.0
TXN100109,2025-01-15,North,P018,5,12532,0,62660.0
TXN100110,2025-01-11,North,P011,1,2085,0,2085.0
TXN100111,2025-01-15,North,P018,3,12532,0,37596.0
TXN100112,2025-01-26,North,P005,3,9455,10,25528.5
TXN100113,2025-01-06,North,P017,2,326,5,619.4
TXN100114,2025-01-16,North,P012,4,1643,0,6572.0
TXN100115,2025-01-04,North,P012,4,1643,0,6572.0
TXN100116,2025-01-20,North,P010,3,1815,10,4900.5
TXN100117,2025-01-19,North,P010,1,1815,0,1815.0
TXN100118,2025-01-08,North,P008,1,8440,0,8440.0
TXN100119,2025-01-15,North,P013,1,1187,0,1187.0
TXN100120,2025-01-03,North,P002,4,15427,0,61708.0
TXN100121,2025-01-04,North,P006,1,6059,15,5150.15
TXN100122,2025-01-24,North,P002,3,15427,0,46281.0
TXN100123,2025-01-14,North,P010,2,1815,0,3630.0
TXN100124,2025-01-07,North,P018,5,12532,5,59527.0
TXN100125,2025-01-22,North,P005,5,9455,15,40183.75
TXN100126,2025-01-08,North,P010,4,1815,0,7260.0
TXN100127,2025-01-05,North,P018,5,12532,15,53261.0
TXN100128,2025-01-08,North,P001,2,51189,15,87021.3
TXN100129,2025-01-11,North,P012,5,1643,10,7393.5
TXN100130,2025-01-16,North,P014,4,465,0,1860.0
TXN100131,2025-01-12,North,P017,3,326,0,978.0
TXN100132,2025-01-17,North,P007,5,10164,0,50820.0
TXN100133,2025-01-09,North,P005,4,9455,0,37820.0
TXN100134,2025-01-02,North,P006,3,6059,15,15450.45
TXN100135,2025-01-18,North,P017,4,326,5,1238.8
TXN100136,2025-01-16,North,P010,3,1815,10,4900.5
TXN100137,2025-01-25,North,P020,2,6635,0,13270.0
TXN100138,2025-01-11,North,P004,5,56667,0,283335.0
TXN100139,2025-01-05,North,P007,1,10164,0,10164.0
TXN100140,2025-01-11,North,P013,3,1187,0,3561.0
TXN100141,2025-01-27,North,P006,3,6059,0,18177.0
TXN100142,2025-01-18,North,P009,1,7247,0,7247.0
TXN100143,2025-01-03,North,P006,1,6059,0,6059.0
TXN100144,2025-01-16,North,P003,1,28854,0,28854.0
TXN100145,2025-01-20,North,P008,1,8440,10,7596.0
TXN100146,2025-01-08,North,P004,5,56667,10,255001.5
TXN100147,2025-01-13,North,P014,2,465,0,930.0
TXN100148,2025-01-04,North,P007,4,10164,10,36590.4
TXN100149,2025-01-04,North,P007,3,10164,0,30492.0
TXN100150,2025-01-20,North,P011,4,2085,0,8340.0
TXN100151,2025-01-02,North,P010,4,1815,5,6897.0
TXN100152,2025-01-24,North,P006,2,6059,15,10300.3
TXN100153,2025-01-21,North,P013,4,1187,10,4273.2
TXN100154,2025-01-26,North,P011,5,2085,0,10425.0
TXN100155,2025-01-20,North,P002,3,15427,0,46281.0
TXN100156,2025-01-03,North,P019,3,8382,5,23888.7
TXN100157,2025-01-16,North,P008,1,8440,0,8440.0
TXN100158,2025-01-05,North,P008,1,8440,0,8440.0
